Type command to execute:
1. Send data (s)
2. Receive data (r)
Command: FFT 511 = 256197, freq = 22006
FFT 458 = 705453, freq = 19724
FFT 457 = 1.05856e+06, freq = 19681
FFT 456 = 2.50847e+06, freq = 19638
FFT 455 = 1.77276e+07, freq = 19595
FFT 511 = 50790.8, freq = 22006
FFT 509 = 113313, freq = 21920
FFT 489 = 115443, freq = 21059
FFT 486 = 126817, freq = 20930
FFT 477 = 153589, freq = 20542
FFT 474 = 154121, freq = 20413
FFT 456 = 184332, freq = 19638
FFT 443 = 225115, freq = 19078
FFT 438 = 257078, freq = 18863
FFT 437 = 259044, freq = 18820
FFT 436 = 330359, freq = 18776
FFT 434 = 335900, freq = 18690
FFT 433 = 343309, freq = 18647
FFT 432 = 385697, freq = 18604
FFT 431 = 432348, freq = 18561
FFT 430 = 474693, freq = 18518
FFT 429 = 500363, freq = 18475
FFT 428 = 676025, freq = 18432
FFT 427 = 734911, freq = 18389
FFT 426 = 1.05893e+06, freq = 18346
FFT 425 = 1.47603e+06, freq = 18303
FFT 424 = 2.55373e+06, freq = 18260
FFT 423 = 8.85611e+06, freq = 18217
FFT 511 = 25687.2, freq = 22006
FFT 510 = 58482, freq = 21963
FFT 509 = 79652.6, freq = 21920
FFT 501 = 89968.3, freq = 21576
FFT 462 = 157228, freq = 19896
FFT 460 = 264129, freq = 19810
FFT 458 = 655554, freq = 19724
Data: 10010010
FFT 511 = 112731, freq = 22006
FFT 443 = 112885, freq = 19078
FFT 299 = 133824, freq = 12876
FFT 511 = 22872, freq = 22006
FFT 510 = 31768.8, freq = 21963
FFT 509 = 49819.3, freq = 21920
FFT 505 = 50534.1, freq = 21748
FFT 502 = 67196.8, freq = 21619
FFT 496 = 72935, freq = 21360
FFT 484 = 74256.4, freq = 20844
FFT 483 = 88021.6, freq = 20801
FFT 457 = 88556.5, freq = 19681
FFT 451 = 125850, freq = 19422
FFT 363 = 129383, freq = 15633
FFT 511 = 27677.3, freq = 22006
FFT 509 = 70294.4, freq = 21920
FFT 506 = 85802.8, freq = 21791
FFT 494 = 87116.1, freq = 21274
FFT 486 = 91833.8, freq = 20930
FFT 481 = 157767, freq = 20714
FFT 511 = 94482.4, freq = 22006
FFT 478 = 102897, freq = 20585
FFT 452 = 103014, freq = 19466
FFT 446 = 130697, freq = 19207
FFT 511 = 113657, freq = 22006
FFT 507 = 140989, freq = 21834
FFT 502 = 208888, freq = 21619
FFT 496 = 209178, freq = 21360
FFT 488 = 211796, freq = 21016
FFT 484 = 243846, freq = 20844
Data: 0
FFT 511 = 138948, freq = 22006
FFT 505 = 151533, freq = 21748
FFT 502 = 251548, freq = 21619
